SYMBOL,RANGE
ARSHIYA,1.1499996
ARSSINFRA,1.0499992
ARTEMISMED,0.0
ARVIND,0.79999924
ARVINDFASN,8.0
ARVSMART,2.949997
ASAHIINDIA,6.149994
ASAHISONG,6.850006
ASAL,0.8500023
ASCOM,0.40000153
ASHAPURMIN,2.1000023
ASHIANA,4.6500015
ASHIMASYN,0.5499997
ASHOKA,2.7000046
ASHOKLEY,1.2999954
ASIANHOTNR,5.949997
ASIANPAINT,22.849976
ASIANTILES,8.0
ASPINWALL,11.0
ASTEC,15.299988
ASTERDM,6.899994
ASTRAL,68.94995
ASTRAMICRO,9.0
ASTRAZEN,83.69995
ASTRON,1.0999985
ATFL,23.5
ATLANTA,0.3000002
ATLASCYCLE,2.0
ATUL,136.2998
ATULAUTO,13.5
AUBANK,36.0
AURIONPRO,2.25
AUROPHARMA,7.899994
AUSOMENT,3.5
AUTOAXLES,19.799988
AUTOIND,0.70000076
AUTOLITIND,2.3500004
AVADHSUGAR,16.350006
AVANTIFEED,17.800049
AVG,0.0
AVROIND,0.0
AVTNPL,1.75
AXISBANK,11.950012
AXISCADES,5.9000015
AXISGOLD,36.649902
AXISNIFTY,13.589966
AYMSYNTEX,2.0499992
BAGFILMS,0.100000024
BAJAJ-AUTO,39.0
BAJAJCON,6.0
BAJAJELEC,11.350006
BAJAJFINSV,280.0
BAJAJHIND,0.2999997
BAJAJHLDNG,168.0
BAJFINANCE,228.8999
BALAJITELE,3.2999992
BALAMINES,13.25
BALAXI,9.099998
BALKRISHNA,0.54999924
BALKRISIND,27.199951
BALLARPUR,0.050000012
BALMLAWRIE,7.0999985
BALPHARMA,2.9000015
BALRAMCHIN,7.400009
BANARBEADS,1.6500015
BANARISUG,51.55005
BANCOINDIA,1.8499985
BANDHANBNK,20.75
BANG,1.8000011
BANKBARODA,0.8499985
BANKBEES,2.350006
BANKINDIA,1.0
BANSWRAS,7.199997
BARTRONICS,0.0
BASF,24.849976
BASML,11.899994
BATAINDIA,38.0
BAYERCROP,60.0
BBL,10.0
BBTC,33.650024
BCG,0.39999962
BCP,1.5
BDL,14.950012
BEARDSELL,0.6499996
BEDMUTHA,0.6999998
BEL,1.4500046
BEML,14.799988
BEPL,2.8500023
BERGEPAINT,14.099976
BETA,4.25
BFINVEST,8.399994
BFUTILITIE,20.149994
BGLOBAL,0.0
BGRENERGY,3.0999985
BHAGERIA,3.899994
BHAGYANGR,1.1500015
BHAGYAPROP,0.95000076
BHANDARI,0.100000024
BHARATFORG,12.900024
BHARATGEAR,2.5999985
BHARATRAS,236.0
BHARATWIRE,1.8500004
BHARTIARTL,13.149994
BHEL,1.5
BIGBLOC,0.25
BIL,10.449997
BILENERGY,0.050000012
BINDALAGRO,1.3500004
BIOCON,14.899994
BIOFILCHEM,0.8499994
BIRLACABLE,1.5999985
BIRLACORPN,42.0
BIRLAMONEY,0.9000015
BKMINDST,0.050000012
BLBLIMITED,0.4000001
BLISSGVS,2.350006
BLKASHYAP,0.34999943
BLS,2.199997
BLUEBLENDS,0.050000012
BLUEDART,182.0
BLUESTARCO,55.5
BODALCHEM,1.5999985
BOHRA,0.0
BOMDYEING,7.2000046
BOROSIL,6.300003
BOSCHLTD,221.5
BPCL,10.25
BPL,0.5
BRFL,0.25
BRIGADE,7.0
BRITANNIA,55.44995
BRITANNIA,0.3199997
BRNL,5.4000015
BROOKS,2.6500015
BSE,8.700012
BSELINFRA,0.05000007
BSHSL,2.5
BSL,2.3500023
BSLGOLDETF,94.69995
BSOFT,1.199997
BURNPUR,0.100000024
BUTTERFLY,13.0
BVCL,0.19999981
BYKE,1.3999996
CADILAHC,4.850006
CADSYS,0.0
CALSOFT,1.0500002
CAMLINFINE,4.5999985
CANBK,4.349991
CANDC,0.20000005
CANFINHOME,23.149994
CANTABIL,8.550018
CAPACITE,5.599991
CAPLIPOINT,7.0
CAPTRUST,12.949997
CARBORUNIV,7.899994
CAREERP,4.9000015
CARERATING,16.900024
CASTEXTECH,0.050000012
CASTROLIND,3.0999908
CCHHL,0.20000005
CCL,19.649994
CDSL,5.799988
CEATLTD,13.799988
CEBBCO,0.8999996
CELEBRITY,0.25
CELESTIAL,0.05000019
CENTENKA,6.449997
CENTEXT,0.1500001
CENTRALBK,1.0
CENTRUM,1.2999992
CENTUM,19.450012
CENTURYPLY,3.399994
CENTURYTEX,22.450012
CERA,19.5
CEREBRAINT,0.0
CESC,11.600037
CESCVENT,9.050018
CGCL,6.849991
CGPOWER,0.5
CHALET,6.049988
CHAMBLFERT,6.649994
CHEMBOND,12.449997
CHEMFAB,9.800003
CHENNPETRO,6.0
CHOLAFIN,9.75
CHOLAHLDNG,22.950012
CHROMATIC,0.100000024
CIGNITITEC,8.899994
CIMMCO,1.75
CINELINE,1.5
CINEVISTA,0.39999962
CIPLA,7.049988
CKFSL,0.049999982
CLEDUCATE,4.5499954
CLNINDIA,8.25
CMICABLES,2.6000023
CMMIPL,0.0
CNOVAPETRO,0.4000001
COALINDIA,5.0
COCHINSHIP,15.949982
COFFEEDAY,2.5
COLPAL,22.75
COMPINFO,1.8999996
COMPUSOFT,0.20000029
CONCOR,11.450012
CONFIPET,3.6000004
CONSOFINVT,1.0999985
CONTI,2.199997
CONTROLPR,24.300003
CORALFINAC,0.39999962
CORDSCABLE,5.299999
COROMANDEL,11.700012
CORPBANK,0.25
COSMOFILMS,4.75
COUNCODOS,0.100000024
COX&KINGS,0.05000007
CPSEETF,0.30000114
CREATIVE,7.800003
CREATIVEYE,0.0
CREDITACC,31.400024
CREST,8.75
CRISIL,63.80005
CROMPTON,8.299988
CSBBANK,7.0
CTE,1.6499996
CUB,7.25
CUBEXTUB,0.19999981
CUMMINSIND,58.799988
CUPID,8.0
CYBERMEDIA,0.0
CYBERTECH,1.0999985
CYIENT,11.850006
DAAWAT,1.0499992
DABUR,6.799988
DALBHARAT,58.950012
DALMIASUG,4.300003
DAMODARIND,1.3500004
DANGEE,0.0
DATAMATICS,3.7000046
DBCORP,2.550003
DBL,9.899994
DBREALTY,0.5500002
DBSTOCKBRO,0.0
DCAL,5.399994
DCBBANK,7.0
DCM,1.75
DCMFINSERV,0.0
DCMNVL,2.4000015
DCMSHRIRAM,19.049988
DCW,0.5999994
DECCANCE,10.5
DEEPAKFERT,6.3499985
DEEPAKNTR,7.350006
DEEPIND,3.050003
DELTACORP,5.050003
DELTAMAGNT,2.7000008
DEN,3.4500008
DENORA,9.5
DEVIT,2.100006
DFMFOODS,28.899994
DGCONTENT,0.20000029
DHAMPURSUG,11.350006
DHANBANK,0.5500002
DHANUKA,51.850006
DHARSUGAR,0.5499997
DHFL,0.8499994
DHFL,0.0
DHFL,10.0
DHFL,15.0
DHFL,1.0
DHFL,15.0
DHFL,25.059998
DHFL,2.0
DHFL,0.1000061
DHFL,3.0
DHFL,0.0
DHUNINV,23.899994
DIAMONDYD,23.650024
DIAPOWER,0.099999964
DICIND,24.75
DIGISPICE,0.3499999
DIGJAMLTD,0.100000024
DISHTV,1.3499994
DIVISLAB,58.349976
DIXON,247.5503
DLF,5.149994
DLINKINDIA,3.5
DMART,56.25
DNAMEDIA,0.049999982
DOLAT,2.7000008
DOLLAR,7.099991
DONEAR,1.5
DPSCLTD,0.5500002
DPWIRES,4.4000015
DQE,0.0
DREDGECORP,8.700012
DRREDDY,102.65015
DSML,0.05000019
DSSL,1.6000004
DTIL,4.199997
DUCON,0.3000002
DVL,2.6500015
DWARKESH,2.5
DYNAMATECH,62.700012
DYNPRO,6.949997
E2E,0.0
EASTSILK,0.100000024
EASUNREYRL,0.1500001
EBBETF0423,0.89001465
EBBETF0430,1.8200073
EC2RG,0.1500001
ECLERX,15.099976
ECLFINANCE,12.5
ECLFINANCE,27.0
ECLFINANCE,6.0
ECLFINANCE,10.0
ECLFINANCE,30.0
ECLFINANCE,11.0
ECLFINANCE,57.0
ECLFINANCE,84.900024
ECLFINANCE,0.0
ECLFINANCE,0.0
ECLFINANCE,0.0
ECLFINANCE,0.0
ECLFINANCE,0.0
ECLFINANCE,110.0
ECLFINANCE,13.97998
ECLFINANCE,6.0
ECLFINANCE,39.0
ECLFINANCE,24.0
EDELWEISS,4.300003
EDL,0.20000005
EDUCOMP,0.100000024
EHFLNCD,3.0100098
EICHERMOT,1136.0
EIDPARRY,5.899994
EIFFL,0.5
EIHAHOTELS,7.5500183
EIHOTEL,2.25
EIMCOELECO,15.099976
EKC,1.0
ELECON,1.2000008
ELECTCAST,0.75
ELECTHERM,2.0
ELGIEQUIP,8.550003
ELGIRUBCO,0.79999924
EMAMILTD,8.350006
EMAMIPAP,0.0
EMAMIREAL,1.1000061
EMBASSY,7.0700073
EMCO,0.099999964
EMKAY,3.5499954
EMKAYTOOLS,0.0
EMMBI,2.4000015
EMOFSR1RDP,0.020000458
EMOFSR1RGG,0.11000061
ENDURANCE,59.75
ENERGYDEV,0.19999981
ENGINERSIN,2.9000015
ENIL,11.099991
EON,0.54999924
EQ30,10.899994
EQUITAS,3.300003
ERFLNCDI,18.0
ERFLNCDI,9.799988
ERFLNCDI,0.0
ERFLNCDI,8.01001
ERIS,45.49997
EROSMEDIA,0.35000038
ESABINDIA,94.80005
ESCORTS,30.799988
ESSARSHPNG,0.5500002
ESSELPACK,10.849991
ESTER,0.8999977
EUROCERA,0.050000012
EUROMULTI,0.100000024
EUROTEXIND,0.35000038
EVEREADY,1.0499992
EVERESTIND,18.5
EXCEL,0.100000024
EXCELINDUS,16.900024
EXIDEIND,3.199997
EXPLEOSOL,15.399994
FACT,2.7000008
FAIRCHEM,23.799988
FCL,0.79999924
FCONSUMER,0.70000076
FCSSOFT,0.049999997
FDC,3.5
FEDERALBNK,1.7999954
FEL,0.9000015
FELDVR,0.95000076
FIEMIND,11.100006
FILATEX,0.54999924
FINCABLES,14.799988
FINEORG,164.6001
FINPIPE,23.900024
FLEXITUFF,0.6500001
FLFL,5.350006
FLUOROCHEM,21.700012
FMGOETZE,21.149963
FMNL,2.5499992
FOCUS,0.0
FORCEMOT,56.150024
FORTIS,2.1500092
FOSECOIND,83.650024
FOURTHDIM,0.0
FRETAIL,11.799988
FSC,5.950012
FSL,2.1500015
GABRIEL,3.399994
GAEL,18.199997
GAIL,3.2500076
GAL,0.1500001
GALAXYSURF,44.900024
GALLANTT,3.25
GALLISPAT,0.70000076
GAMMNINFRA,0.050000012
GANDHITUBE,7.899994
GANECOS,7.5
GANESHHOUC,3.6500015
GANGESSECU,3.2999992
GANGOTRI,0.049999952
GARDENSILK,0.8999996
GARFIBRES,77.400024
GATI,2.1500015
GAYAHWS,0.050000012
GAYAPROJ,0.0
GDL,7.449997
GEECEE,9.049995
GEEKAYWIRE,0.0
GENESYS,1.9000015
GENUSPAPER,0.5499997
GENUSPOWER,1.1499996
GEOJITFSL,0.70000076
GEPIL,23.349976
GESHIP,13.200012
GET&D,6.0
GFLLIMITED,0.0
GHCL,3.850006
GICHSGFIN,2.699997
GICRE,9.75
GILLANDERS,2.5
GILLETTE,35.25
GINNIFILA,0.54999924
GIPCL,2.800003
GKWLIMITED,8.400024
GLAXO,63.30005
GLENMARK,11.75
GLFL,0.0
GLOBALVECT,4.6000023
GLOBOFFS,0.2999997
GLOBUSSPR,8.800003
GMBREW,12.100006
GMDCLTD,1.4000015
GMMPFAUDLR,73.0
GMRINFRA,0.34999847
GNA,6.599991
GNFC,6.550003
GOACARBON,10.25
GOCLCORP,7.850006
GODFRYPHLP,162.0
GODREJAGRO,15.150024
GODREJCP,34.75
GODREJIND,16.049988
GODREJPROP,41.94995
GOENKA,0.050000012
GOKEX,2.7000046
GOKUL,0.6499996
GOKULAGRO,1.1499996
GOLDBEES,1.0
GOLDENTOBC,0.95000076
GOLDIAM,8.899994
GOLDSHARE,51.0
GOLDTECH,1.0500002
GOODLUCK,1.9000015
GPIL,11.0
GPPL,2.5999985
GPTINFRA,1.6500015
GRANULES,3.850006
GRAPHITE,6.0
GRASIM,22.849976
GRAVITA,4.700001
GREAVESCOT,5.949997
GREENLAM,32.450012
GREENPANEL,1.3500023
GREENPLY,4.199997
GREENPOWER,0.100000024
GRINDWELL,22.850037
GROBTEA,20.0
GRPLTD,68.95001
GRSE,7.449997
GSCLCEMENT,0.79999924
GSFC,2.75
GSKCONS,91.84961
GSPL,4.799988
GSS,2.8499985
GTL,0.100000024
GTLINFRA,0.099999994
GTNIND,0.8499999
GTNTEX,0.0
GTPL,1.5
GUFICBIO,3.75
GUJALKALI,14.0
GUJAPOLLO,3.9000015
GUJGASLTD,10.699982
GUJRAFFIA,0.0
GULFOILLUB,10.049988
GULFPETRO,4.25
GULPOLY,4.8999977
GVKPIL,0.25
HAL,34.200012
HARITASEAT,17.900024
HARRMALAYA,1.9500046
HATHWAY,0.5
HATSUN,19.200012
HAVELLS,9.599976
HAVISHA,0.050000012
HBLPOWER,0.44999886
HCC,0.4499998
HCG,8.349998
HCL-INSYS,0.25
HCLTECH,9.299988
HDFC,47.5
HDFCAMC,42.0
HDFCBANK,19.75
HDFCLIFE,8.75
HDFCMFGETF,24.0
HDFCNIFETF,10.160034
HDFCSENETF,12.25
HDIL,0.19999981
HEG,31.849976
HEIDELBERG,3.75
HEOF1100RG,0.0
HERCULES,4.4000015
HERITGFOOD,14.149994
HEROMOTOCO,40.0
HESTERBIO,21.949951
HEXATRADEX,1.1999998
HEXAWARE,11.850006
HFCL,0.30000114
HGINFRA,6.850006
HGS,19.25
HHOF1140RG,0.15999985
HIKAL,4.5
HIL,36.0
HILTON,1.1000004
HIMATSEIDE,2.3499908
HINDALCO,3.2999878
HINDCOMPOS,14.0
HINDCOPPER,1.199997
HINDMOTORS,0.14999962
HINDNATGLS,1.4500008
HINDOILEXP,1.699997
HINDPETRO,6.899994
HINDSYNTEX,0.0
HINDUNILVR,23.75
HINDZINC,4.75
HIRECT,17.100006
HISARMETAL,5.8499985
HITECH,12.0
HITECHCORP,10.75
HITECHGEAR,5.300003
HLVLTD,0.1500001
HMT,0.35000038
HMVL,6.4500046
HNDFDS,22.5
HNGSNGBEES,18.769989
HONAUT,360.05078
HONDAPOWER,57.599976
HOVS,1.75
HPIL,0.6500015
HPL,1.4500008
HSCL,1.5999985
HSIL,2.2000008
HTMEDIA,0.19999886
HUBTOWN,0.5999994
HUDCO,1.0499992
HUDCO,0.25
HUDCO,1.0100098
HUDCO,19.0
HUDCO,7.5
HUDCO,0.0
HUDCO,0.099975586
HUDCO,7.98999
IBMFNIFTY,4.75
IBREALEST,10.050003
IBUCCREDIT,0.0
IBUCCREDIT,0.0
IBUCCREDIT,0.0
IBULHSGFIN,14.699982
IBULHSGFIN,7.0
IBULHSGFIN,0.0
IBULHSGFIN,0.0
IBULISL,8.25
IBVENTURES,3.0999985
IBVENTURES,3.75
ICFL,1.9000244
ICFL,22.0
ICFL,0.0
ICFL,73.0
ICFL,0.0
ICFL,3.0
ICFL,25.0
ICFL,1.0499878
ICICI500,3.9600067
ICICIB22,0.49000168
ICICIBANK,9.5
ICICIBANKN,6.049988
ICICIBANKP,1.5700073
ICICIGI,26.449951
ICICIGOLD,1.0499992
ICICILIQ,0.049987793
ICICILOVOL,0.8500061
ICICIM150,7.8499985
ICICIMCAP,1.300003
ICICINF100,1.1699982
ICICINIFTY,6.3399963
ICICINV20,0.91999817
ICICINXT50,1.1300011
ICICIPRULI,13.199951
ICICISENSX,5.1099854
ICIL,2.0499992
ICRA,95.0
IDBI,1.199997
IDBIGOLD,42.399902
IDEA,0.5499997
IDFC,0.29999924
IDFCFIRSTB,1.25
IDFCFIRSTB,4.1000977
IDFCFIRSTB,15.0
IDFCFIRSTB,0.0
IDFCFIRSTB,44.0
IDFCFIRSTB,25.990234
IDFNIFTYET,6.9000015
IEX,5.850006
IFBAGRO,27.950012
IFBIND,46.0
IFCI,0.099999905
IFCI,2.0
IFCI,1.0900269
IFCI,0.0
IFGLEXPOR,6.5
IGARASHI,16.850006
IGL,9.0
IGPL,9.299988
IIFCL,10.0
IIFL,6.600006
IIFLFIN,0.0
IIFLFIN,0.0
IIFLFIN,5.0999756
IIFLFIN,0.0
IIFLFIN,0.0
IIFLFIN,11.900024
IIFLFIN,0.0
IIFLFIN,0.0
IIFLFIN,0.099975586
IIFLSEC,3.9500008
IIFLWAM,27.050049
IIHFL,2.5499878
IIHFL,2.0
IITL,1.4500008
IL&FSENGG,0.100000024
IL&FSTRANS,0.100000024
IMFA,14.450012
IMPAL,19.0
IMPEXFERRO,0.050000012
INDBANK,0.9499998
INDHOTEL,2.850006
INDIACEM,2.2000046
INDIAGLYCO,14.600006
INDIAMART,38.44995
INDIANB,1.8999939
INDIANCARD,0.5
INDIANHUME,6.600006
INDIGO,43.799927
INDIGRID,0.6800003
INDLMETER,0.0
INDNIPPON,12.149994
INDOCO,15.0
INDORAMA,0.39999962
INDOSOLAR,0.050000012
INDOSTAR,18.25
INDOTECH,2.949997
INDOTHAI,0.8999996
INDOWIND,0.20000005
INDRAMEDCO,5.549999
INDSWFTLAB,0.55000114
INDSWFTLTD,0.25
INDTERRAIN,9.400002
INDUSINDBK,25.699951
INEOSSTYRO,39.0
INFIBEAM,5.5
INFOBEAN,7.5999985
INFRABEES,0.0
INFRATEL,8.549988
INFY,8.549988
INGERRAND,14.049988
INNOVANA,1.199997
INOXLEISUR,4.600006
INOXWIND,2.0499992
INSECTICID,33.849976
INSPIRISYS,2.6500015
INTEGRA,0.099999964
INTELLECT,2.949997
INTENTECH,2.8500004
INVENTURE,0.79999924
IOB,0.40000057
IOC,2.149994
IOLCP,7.399994
IPCALAB,29.900024
IRB,2.75
IRBINVIT,0.73999786
IRCON,36.0
IRCTC,66.400024
IREDA,5.0
IREDA,5.0
IRFC,1.0
IRFC,3.9499512
IRFC,0.0
IRFC,0.0
IRFC,21.400024
IRFC,1.0
IRFC,0.0
IRFC,1.4100342
IRFC,0.0
ISEC,15.350006
ISFT,1.5499954
ISMTLTD,0.25
ITC,6.5
ITDC,6.899994
ITDCEM,2.7999992
ITI,6.050003
IVC,0.10000014
IVP,1.7000008
IVZINNIFTY,0.0
IZMO,0.70000076
J&KBANK,0.6000004
JAGRAN,1.6000061
JAGSNPHARM,1.7000008
JAIBALAJI,5.0
JAICORPLTD,3.75
JAKHARIA,0.0
JALAN,0.0
JAMNAAUTO,0.95000076
JASH,8.800003
JAYAGROGN,4.699997
JAYBARMARU,7.949997
JAYNECOIND,0.35000014
JAYSREETEA,2.1000023
JBCHEPHARM,25.5
JBFIND,0.0
JBMA,9.550003
JCHAC,69.0
JETAIRWAYS,3.1499977
JHS,0.6499996
JIKIND,0.099999994
JINDALPHOT,1.3500004
JINDALPOLY,10.649994
JINDALSAW,2.5999985
JINDALSTEL,10.399994
JINDCOT,0.099999905
JINDRILL,7.4000015
JINDWORLD,4.3499985
JISLDVREQS,0.4000001
JISLJALEQS,0.4499998
JITFINFRA,0.8000002
JIYAECO,1.9499989
JKCEMENT,34.05005
JKIL,2.949997
JKLAKSHMI,21.75
JKPAPER,2.5
JKTYRE,2.1500015
JMA,1.0
JMCPROJECT,1.5499954
JMFINANCIL,4.0499954
JMTAUTOLTD,0.05000007
JOCIL,4.25
JPASSOCIAT,0.049999952
JPINFRATEC,0.049999952
JPOLYINVST,0.6000004
JPPOWER,0.049999952
JSL,1.25
JSLHISAR,1.8999939
JSWENERGY,2.2000046
JSWHL,153.25
JSWSTEEL,6.3000183
JSWSTEEL,0.049999952
JTEKTINDIA,2.3499985
JUBILANT,20.150024
JUBLFOOD,57.80005
JUBLINDS,6.350006
JUMPNET,1.5
JUNIORBEES,2.850006
JUSTDIAL,16.200012
JVLAGRO,0.050000012
JYOTHYLAB,6.550003
KABRAEXTRU,4.25
KAJARIACER,14.350037
KAKATCEM,17.25
KALPATPOWR,7.100006
KALYANIFRG,4.799988
KAMATHOTEL,1.7000008
KAMDHENU,3.75
KANANIIND,0.3000002
KANORICHEM,1.3500023
KANSAINER,5.0
KARDA,1.949997
KARMAENG,1.0999994
KARURVYSYA,3.0499992
KAUSHALYA,0.050000012
KAVVERITEL,0.0
KAYA,32.399994
KCP,3.1500015
KCPSUGIND,0.8000002
KDDL,23.099976
KEC,9.800018
KECL,0.5999985
KEI,25.400024
KELLTONTEC,2.1499996
KENNAMET,36.150024
KERNEX,0.95000076
KESORAMIND,1.0499992
KEYFINSERV,0.0
KGL,0.099999994
KHADIM,4.0
KHAITANLTD,1.0
KHFM,0.0
KICL,33.0
KILITCH,2.0999985
KINGFA,21.75
KIOCL,7.5999985
KIRIINDUS,7.0
KIRLFER,2.899994
KIRLOSBROS,5.600006
KIRLOSENG,5.700012
KIRLOSIND,28.0
KITEX,4.800003
KKCL,139.0
KMSUGAR,0.4499998
KNRCON,10.899994
KOHINOOR,0.4499998
KOKUYOCMLN,4.75
KOLTEPATIL,8.699997
KOPRAN,1.5
KOTAKBANK,23.149902
KOTAKBKETF,4.75
KOTAKGOLD,4.5
KOTAKNIFTY,1.2700043
KOTAKNV20,1.0599976
KOTAKPSUBK,2.3600006
KOTARISUG,0.8500004
KOTHARIPET,1.2000008
KOTHARIPRO,5.5999985
KPITTECH,6.25
KPRMILL,23.0
KRBL,23.25
KREBSBIO,5.3499985
KRIDHANINF,0.20000005
KRISHANA,0.0
KRITIKA,0.0
KSB,25.849976
KSCL,15.75
KSERASERA,0.050000004
KSHITIJPOL,0.0
KSK,0.050000012
KSL,21.199997
KTKBANK,1.1499939
KUANTUM,13.0
KWALITY,0.20000005
L&TFH,1.5
L&TFINANCE,4.9000244
L&TFINANCE,0.0
L&TFINANCE,5.01001
L&TFINANCE,0.0
L&TFINANCE,3.0
L&TFINANCE,1.0
L&TFINANCE,0.0
L&TFINANCE,2.4500122
L&TINFRA,41.900024
L&TINFRA,11.0
L&TINFRA,0.030029297
L&TINFRA,1.0999756
L&TINFRA,19.5
LAKPRE,0.0
LAKSHVILAS,0.4499998
LALPATHLAB,28.800049
LAMBODHARA,1.7000008
LAOPALA,7.850006
LASA,0.0
LAURUSLABS,14.700012
LAXMIMACH,95.44995
LEMONTREE,1.8499985
LFIC,4.799999
LGBBROSLTD,9.950012
LGBFORGE,0.20000005
LIBAS,2.0999985
LIBERTSHOE,3.899994
LICHSGFIN,9.0
LICNETFGSC,0.87000084
LICNETFN50,3.0
LICNETFSEN,19.899994
LICNFNHGP,1.9000015
LINCOLN,5.5
LINCPEN,13.899994
LINDEINDIA,55.349976
LIQUIDBEES,0.76000977
LIQUIDETF,0.020019531
LOKESHMACH,1.2000008
LOTUSEYE,2.9000015
LOVABLE,3.2999954
LPDC,0.100000024
LSIL,0.100000024
LT,22.849976
LTI,22.699951
LTTS,43.69995
LUMAXIND,75.0
LUMAXTECH,3.0499954
LUPIN,9.200012
LUXIND,64.0
LYKALABS,0.69999886
LYPSAGEMS,0.5999999
M&M,8.549988
M&MFIN,21.100006
M&MFIN,4.0
M&MFIN,0.0
M100,0.27000046
M17RD,0.0
M50,1.2699966
MAANALU,4.4000015
MACPOWER,0.0
MADHAV,3.6000004
MADHUCON,0.3000002
MADRASFERT,0.6500015
MAGADSUGAR,8.800003
MAGMA,2.5
MAGNUM,0.14999986
MAHABANK,0.25
MAHAPEXLTD,8.599998
MAHASTEEL,7.800003
MAHESHWARI,31.799988
MAHICKRA,0.0
MAHINDCIE,6.25
MAHLIFE,8.75
MAHLOG,10.399994
MAHSCOOTER,170.0
MAHSEAMLES,6.450012
MAITHANALL,23.450012
MAJESCO,10.200012
MALUPAPER,2.3499985
MAN50ETF,0.6500015
MANAKALUCO,0.3000002
MANAKCOAT,0.20000029
MANAKSIA,1.3499985
MANAKSTEEL,0.6500006
MANALIPETC,0.6499996
MANAPPURAM,9.100006
MANGALAM,1.9000015
MANGCHEFER,1.0499992
MANGLMCEM,9.549988
MANGTIMBER,0.5
MANINDS,0.95000076
MANINFRA,0.8999996
MANUGRAPH,0.75
MARALOVER,0.35000038
MARATHON,6.949997
MARICO,11.300018
MARINE,0.7999954
MARKSANS,1.3999996
MARSHALL,0.0
MARUTI,141.25
MASFIN,20.450012
MASTEK,31.25
MATRIMONY,11.850006
MAWANASUG,2.5999985
MAXINDIA,2.8499985
MAXVIL,1.7999992
MAYURUNIQ,5.300003
MAZDA,15.0
MBECL,0.25
MBLINFRA,0.25
MCDHOLDING,2.4500008
MCDOWELL-N,28.0
MCL,5.4000015
MCLEODRUSS,0.10000038
MCX,28.150024
MEGASOFT,0.2999997
MEGH,8.25
MELSTAR,0.0
MENONBE,1.8500023
MEP,1.0
MERCATOR,0.050000012
METALFORGE,0.0
METKORE,0.050000012
METROPOLIS,47.75
MFSL,9.5
MGEL,0.0
MGL,25.0
MHHL,0.0
MHRIL,3.949997
MIC,0.050000012
MIDHANI,5.899994
MILTON,0.0
MINDACORP,3.9000015
MINDAIND,17.100006
MINDPOOL,0.0
MINDTECK,1.0999985
MINDTREE,9.799988
MIRCELECTR,0.6000004
MIRZAINT,1.9500008
MMFL,11.149994
MMP,10.0
